
Sat Sep 12 10:54:33 EDT 2015
numactl --interleave=all ../testing/testing_dsymv -L -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
  510      5.80 (   0.09)      6.51 (   0.08)      7.89 (   0.07)      6.53 (   0.08)   6.69e-16   7.24e-16   6.69e-16   ok
  520      5.77 (   0.09)      6.30 (   0.09)      7.86 (   0.07)      7.33 (   0.07)   6.56e-16   7.11e-16   6.56e-16   ok
  530      5.86 (   0.10)      6.78 (   0.08)      8.17 (   0.07)      6.71 (   0.08)   9.12e-16   8.58e-16   9.65e-16   ok
  540      6.20 (   0.09)      6.88 (   0.08)      8.45 (   0.07)      6.94 (   0.08)   7.37e-16   7.37e-16   7.89e-16   ok
  550      6.25 (   0.10)      6.19 (   0.10)      8.53 (   0.07)      7.87 (   0.08)   7.23e-16   7.75e-16   8.27e-16   ok
  560      6.41 (   0.10)      7.22 (   0.09)      8.61 (   0.07)      8.26 (   0.08)   6.60e-16   7.61e-16   7.11e-16   ok
  570      6.52 (   0.10)      7.30 (   0.09)      8.92 (   0.07)      7.22 (   0.09)   7.48e-16   7.48e-16   7.48e-16   ok
  580      6.48 (   0.10)      7.40 (   0.09)      9.21 (   0.07)      7.50 (   0.09)   7.35e-16   7.84e-16   6.86e-16   ok
  590      6.46 (   0.11)      7.84 (   0.09)      9.32 (   0.07)      8.31 (   0.08)   6.74e-16   6.26e-16   6.26e-16   ok
  600      6.75 (   0.11)      8.11 (   0.09)      9.63 (   0.07)      8.29 (   0.09)   9.00e-16   7.58e-16   7.11e-16   ok
  610      6.90 (   0.11)      8.27 (   0.09)      9.09 (   0.08)      7.37 (   0.10)   7.45e-16   7.92e-16   7.92e-16   ok
  620      7.26 (   0.11)      8.12 (   0.09)     10.00 (   0.08)      7.34 (   0.10)   9.17e-16   9.17e-16   9.17e-16   ok
  630      7.43 (   0.11)      8.64 (   0.09)     10.17 (   0.08)      7.86 (   0.10)   6.77e-16   7.22e-16   7.22e-16   ok
  640      7.66 (   0.11)      8.56 (   0.10)     10.52 (   0.08)      8.54 (   0.10)   7.99e-16   7.11e-16   7.99e-16   ok
  650      7.29 (   0.12)      8.55 (   0.10)     10.32 (   0.08)      7.70 (   0.11)   7.00e-16   7.87e-16   7.00e-16   ok
  660      7.72 (   0.11)      9.08 (   0.10)     11.02 (   0.08)      7.87 (   0.11)   7.32e-16   7.32e-16   6.89e-16   ok
  670      7.89 (   0.11)      9.18 (   0.10)     11.53 (   0.08)      9.09 (   0.10)   8.48e-16   8.91e-16   9.33e-16   ok
  680      8.41 (   0.11)      9.64 (   0.10)     11.74 (   0.08)      8.99 (   0.10)   7.52e-16   7.11e-16   7.52e-16   ok
  690      8.35 (   0.11)      9.92 (   0.10)     11.76 (   0.08)      8.30 (   0.11)   8.24e-16   7.41e-16   7.41e-16   ok
  700      8.54 (   0.11)      9.62 (   0.10)     12.00 (   0.08)      8.04 (   0.12)   8.12e-16   7.31e-16   6.50e-16   ok
  710      8.42 (   0.12)      8.40 (   0.12)     11.86 (   0.09)      9.35 (   0.11)   9.61e-16   9.61e-16   8.81e-16   ok
  720      8.87 (   0.12)     10.83 (   0.10)     12.37 (   0.08)      9.72 (   0.11)   8.68e-16   7.89e-16   8.68e-16   ok
  730      8.88 (   0.12)     10.58 (   0.10)     12.40 (   0.09)      8.27 (   0.13)   7.79e-16   7.01e-16   7.79e-16   ok
  740      9.00 (   0.12)     10.34 (   0.11)     12.20 (   0.09)      8.70 (   0.13)   8.45e-16   9.22e-16   9.99e-16   ok
  750      9.30 (   0.12)     10.84 (   0.10)     12.53 (   0.09)      9.47 (   0.12)   9.09e-16   8.34e-16   8.34e-16   ok
  760      9.33 (   0.12)     10.90 (   0.11)     12.70 (   0.09)      9.48 (   0.12)   8.98e-16   8.23e-16   8.98e-16   ok
  770      9.12 (   0.13)     11.42 (   0.10)     12.94 (   0.09)      8.19 (   0.14)   8.12e-16   8.86e-16   8.86e-16   ok
  780      9.29 (   0.13)     11.61 (   0.10)     13.24 (   0.09)      8.35 (   0.15)   9.47e-16   1.02e-15   9.47e-16   ok
  790      9.55 (   0.13)     11.57 (   0.11)     13.44 (   0.09)      8.93 (   0.14)   8.63e-16   9.35e-16   8.63e-16   ok
  800      9.77 (   0.13)     11.87 (   0.11)     13.78 (   0.09)      8.96 (   0.14)   1.28e-15   1.28e-15   1.21e-15   ok
  810     10.19 (   0.13)     11.53 (   0.11)     13.99 (   0.09)      8.60 (   0.15)   1.05e-15   1.12e-15   1.05e-15   ok
  820     10.36 (   0.13)     12.72 (   0.11)     14.01 (   0.10)      8.80 (   0.15)   1.11e-15   1.04e-15   1.04e-15   ok
  830     10.44 (   0.13)     12.08 (   0.11)     14.36 (   0.10)      9.50 (   0.15)   9.59e-16   8.90e-16   1.03e-15   ok
  840     10.32 (   0.14)     13.44 (   0.11)     14.42 (   0.10)      9.54 (   0.15)   8.80e-16   8.80e-16   9.47e-16   ok
  850     10.57 (   0.14)     12.26 (   0.12)     14.59 (   0.10)      8.72 (   0.17)   9.36e-16   9.36e-16   9.36e-16   ok
  860     10.90 (   0.14)     13.59 (   0.11)     15.11 (   0.10)      9.13 (   0.16)   1.26e-15   1.26e-15   1.26e-15   ok
  870     11.00 (   0.14)     11.49 (   0.13)     15.13 (   0.10)      9.70 (   0.16)   1.18e-15   1.31e-15   1.18e-15   ok
  880     11.23 (   0.14)     13.72 (   0.11)     15.67 (   0.10)      9.75 (   0.16)   8.40e-16   9.04e-16   9.04e-16   ok
  890     11.67 (   0.14)     14.15 (   0.11)     15.69 (   0.10)      9.28 (   0.17)   9.58e-16   1.02e-15   1.15e-15   ok
  900     11.26 (   0.14)     15.15 (   0.11)     15.75 (   0.10)      8.92 (   0.18)   1.07e-15   1.01e-15   1.01e-15   ok
 1000     12.92 (   0.15)     15.27 (   0.13)     17.42 (   0.11)     10.07 (   0.20)   1.08e-15   1.08e-15   1.14e-15   ok
 1100     14.15 (   0.17)     16.57 (   0.15)     12.11 (   0.20)     10.05 (   0.24)   1.14e-15   1.19e-15   1.19e-15   ok
 1200     16.01 (   0.18)     19.07 (   0.15)     13.29 (   0.22)     10.40 (   0.28)   1.18e-15   1.28e-15   1.18e-15   ok
 1300     16.83 (   0.20)     20.12 (   0.17)     13.47 (   0.25)     10.04 (   0.34)   1.27e-15   1.18e-15   1.18e-15   ok
 1400     19.04 (   0.21)     22.42 (   0.17)     15.21 (   0.26)     11.47 (   0.34)   1.14e-15   1.06e-15   1.06e-15   ok
 1500     19.76 (   0.23)     24.18 (   0.19)     16.14 (   0.28)     10.85 (   0.42)   1.36e-15   1.29e-15   1.44e-15   ok
 1600     21.34 (   0.24)     24.53 (   0.21)     16.32 (   0.31)     10.97 (   0.47)   1.35e-15   1.42e-15   1.49e-15   ok
 1700     22.23 (   0.26)     27.29 (   0.21)     17.06 (   0.34)     11.36 (   0.51)   1.34e-15   1.40e-15   1.47e-15   ok
 1800     23.59 (   0.27)     29.88 (   0.22)     18.06 (   0.36)     11.64 (   0.56)   1.83e-15   1.89e-15   1.83e-15   ok
 1900     25.53 (   0.28)     31.96 (   0.23)     19.02 (   0.38)     11.86 (   0.61)   1.62e-15   1.38e-15   1.44e-15   ok
 2000     25.98 (   0.31)     30.66 (   0.26)     20.05 (   0.40)     12.45 (   0.64)   1.82e-15   1.82e-15   1.76e-15   ok
 2100     27.58 (   0.32)     32.55 (   0.27)     15.43 (   0.57)     11.36 (   0.78)   1.84e-15   1.79e-15   1.73e-15   ok
 2200     28.56 (   0.34)     35.35 (   0.27)     16.00 (   0.61)     11.81 (   0.82)   1.76e-15   1.76e-15   1.76e-15   ok
 2300     31.05 (   0.34)     36.75 (   0.29)     16.67 (   0.63)     11.33 (   0.93)   1.78e-15   1.73e-15   1.73e-15   ok
 2400     31.05 (   0.37)     37.41 (   0.31)     17.54 (   0.66)     11.36 (   1.01)   1.61e-15   1.52e-15   1.52e-15   ok
 2500     32.40 (   0.39)     38.37 (   0.33)     18.28 (   0.68)     10.94 (   1.14)   1.91e-15   1.59e-15   1.77e-15   ok
 2600     32.83 (   0.41)     39.78 (   0.34)     18.73 (   0.72)     11.19 (   1.21)   1.53e-15   1.66e-15   1.62e-15   ok
 2700     34.48 (   0.42)     41.90 (   0.35)     19.42 (   0.75)     11.02 (   1.32)   1.60e-15   1.56e-15   1.60e-15   ok
 2800     34.48 (   0.45)     39.21 (   0.40)     20.24 (   0.78)     11.73 (   1.34)   1.79e-15   1.79e-15   1.71e-15   ok
 2900     36.91 (   0.46)     43.70 (   0.39)     20.88 (   0.81)     11.01 (   1.53)   1.80e-15   1.80e-15   1.88e-15   ok
 3000     38.14 (   0.47)     45.14 (   0.40)     21.56 (   0.84)     11.16 (   1.61)   1.97e-15   1.89e-15   1.89e-15   ok
 3100     39.55 (   0.49)     46.43 (   0.41)     17.51 (   1.10)     11.38 (   1.69)   2.13e-15   2.20e-15   2.20e-15   ok
 3200     40.65 (   0.50)     44.64 (   0.46)     18.04 (   1.14)     11.63 (   1.76)   1.99e-15   1.99e-15   2.06e-15   ok
 3300     41.90 (   0.52)     48.43 (   0.45)     18.62 (   1.17)     11.64 (   1.87)   2.14e-15   2.07e-15   2.14e-15   ok
 3400     42.05 (   0.55)     49.41 (   0.47)     19.16 (   1.21)     11.72 (   1.97)   2.34e-15   2.21e-15   2.14e-15   ok
 3500     44.08 (   0.56)     50.31 (   0.49)     19.79 (   1.24)     11.44 (   2.14)   2.34e-15   2.47e-15   2.40e-15   ok
 3600     44.40 (   0.58)     49.30 (   0.53)     20.10 (   1.29)     11.61 (   2.23)   2.34e-15   2.21e-15   2.27e-15   ok
 3700     45.03 (   0.61)     51.19 (   0.54)     20.56 (   1.33)     11.82 (   2.32)   2.52e-15   2.52e-15   2.58e-15   ok
 3800     46.75 (   0.62)     51.96 (   0.56)     21.23 (   1.36)     11.71 (   2.47)   2.33e-15   2.45e-15   2.45e-15   ok
 3900     48.45 (   0.63)     51.84 (   0.59)     21.20 (   1.44)     11.86 (   2.57)   2.22e-15   2.16e-15   2.16e-15   ok
 4000     48.14 (   0.66)     49.78 (   0.64)     22.24 (   1.44)     11.76 (   2.72)   2.56e-15   2.67e-15   2.50e-15   ok
 4100     47.62 (   0.71)     52.71 (   0.64)     19.29 (   1.74)     11.40 (   2.95)   2.88e-15   2.83e-15   2.88e-15   ok
 4200     49.01 (   0.72)     51.97 (   0.68)     18.98 (   1.86)     11.95 (   2.95)   2.76e-15   2.65e-15   2.98e-15   ok
 4300     49.92 (   0.74)     54.32 (   0.68)     19.58 (   1.89)     11.53 (   3.21)   2.27e-15   2.27e-15   2.33e-15   ok
 4400     52.69 (   0.74)     54.47 (   0.71)     19.94 (   1.94)     11.51 (   3.36)   2.38e-15   2.43e-15   2.48e-15   ok
 4500     51.86 (   0.78)     56.73 (   0.71)     20.42 (   1.98)     11.59 (   3.50)   2.83e-15   3.03e-15   2.73e-15   ok
 4600     53.78 (   0.79)     56.51 (   0.75)     20.65 (   2.05)     11.79 (   3.59)   2.52e-15   2.52e-15   2.87e-15   ok
 4700     53.89 (   0.82)     55.79 (   0.79)     21.07 (   2.10)     11.50 (   3.84)   2.52e-15   2.66e-15   2.76e-15   ok
 4800     55.34 (   0.83)     55.53 (   0.83)     21.56 (   2.14)     11.81 (   3.90)   2.51e-15   2.42e-15   2.46e-15   ok
 4900     55.73 (   0.86)     57.46 (   0.84)     22.04 (   2.18)     11.58 (   4.15)   2.51e-15   2.55e-15   2.55e-15   ok
 5000     55.62 (   0.90)     58.90 (   0.85)     22.07 (   2.27)     11.47 (   4.36)   2.46e-15   2.32e-15   2.50e-15   ok
 5100     57.19 (   0.91)     58.26 (   0.89)     22.86 (   2.28)     11.50 (   4.52)   2.41e-15   2.36e-15   2.36e-15   ok
 5200     57.79 (   0.94)     59.77 (   0.91)     19.68 (   2.75)     11.75 (   4.60)   2.62e-15   2.54e-15   2.67e-15   ok
 5300     57.92 (   0.97)     60.68 (   0.93)     20.16 (   2.79)     11.41 (   4.92)   2.57e-15   2.66e-15   2.53e-15   ok
 5400     57.92 (   1.01)     60.71 (   0.96)     20.48 (   2.85)     11.66 (   5.00)   2.69e-15   2.44e-15   2.44e-15   ok
 5500     57.36 (   1.06)     59.97 (   1.01)     20.90 (   2.89)     11.55 (   5.24)   2.40e-15   2.40e-15   2.32e-15   ok
 5600     60.03 (   1.04)     58.03 (   1.08)     21.27 (   2.95)     11.93 (   5.26)   2.52e-15   2.68e-15   2.68e-15   ok
 5700     60.52 (   1.07)     62.55 (   1.04)     21.54 (   3.02)     11.54 (   5.63)   2.63e-15   2.63e-15   2.63e-15   ok
 5800     61.85 (   1.09)     60.57 (   1.11)     21.81 (   3.08)     11.70 (   5.75)   3.14e-15   2.98e-15   3.06e-15   ok
 5900     62.06 (   1.12)     61.46 (   1.13)     22.20 (   3.14)     11.67 (   5.96)   3.08e-15   3.01e-15   3.08e-15   ok
 6000     62.57 (   1.15)     61.82 (   1.16)     22.59 (   3.19)     11.80 (   6.10)   3.41e-15   3.26e-15   3.41e-15   failed
 6100     63.08 (   1.18)     62.60 (   1.19)     22.95 (   3.24)     11.69 (   6.37)   3.28e-15   2.83e-15   2.98e-15   ok
 6200     64.07 (   1.20)     62.61 (   1.23)     20.37 (   3.77)     11.87 (   6.48)   3.01e-15   3.08e-15   3.01e-15   ok
 6300     65.45 (   1.21)     61.45 (   1.29)     20.03 (   3.96)     11.74 (   6.76)   3.68e-15   3.75e-15   3.61e-15   failed
 6400     64.93 (   1.26)     58.56 (   1.40)     20.90 (   3.92)     11.84 (   6.92)   3.98e-15   3.77e-15   4.05e-15   failed
 6500     65.92 (   1.28)     62.28 (   1.36)     20.58 (   4.11)     11.78 (   7.17)   3.08e-15   3.29e-15   3.64e-15   failed
 6600     65.71 (   1.33)     61.66 (   1.41)     20.95 (   4.16)     12.02 (   7.25)   3.72e-15   3.58e-15   3.58e-15   failed
 6700     68.39 (   1.31)     62.49 (   1.44)     21.65 (   4.15)     11.61 (   7.74)   4.00e-15   4.14e-15   3.94e-15   failed
 6800     67.86 (   1.36)     63.22 (   1.46)     22.09 (   4.19)     11.69 (   7.92)   3.81e-15   3.68e-15   3.54e-15   failed
 6900     68.62 (   1.39)     64.96 (   1.47)     22.17 (   4.30)     11.73 (   8.12)   2.97e-15   3.10e-15   3.30e-15   ok
 7000     68.59 (   1.43)     63.44 (   1.54)     22.59 (   4.34)     11.79 (   8.31)   3.51e-15   4.03e-15   3.77e-15   failed
 7100     69.02 (   1.46)     63.78 (   1.58)     22.61 (   4.46)     11.71 (   8.61)   3.20e-15   3.27e-15   3.07e-15   ok
 7200     69.69 (   1.49)     59.39 (   1.75)     20.51 (   5.06)     11.81 (   8.78)   3.03e-15   3.28e-15   3.16e-15   ok
 7300     70.32 (   1.52)     65.56 (   1.63)     20.84 (   5.12)     11.67 (   9.14)   3.55e-15   3.61e-15   3.43e-15   failed
 7400     70.71 (   1.55)     64.05 (   1.71)     21.22 (   5.16)     11.87 (   9.23)   3.38e-15   3.81e-15   3.50e-15   failed
 7500     71.08 (   1.58)     64.36 (   1.75)     21.38 (   5.26)     11.64 (   9.67)   3.70e-15   3.58e-15   3.70e-15   failed
 7600     72.62 (   1.59)     64.66 (   1.79)     21.65 (   5.34)     11.86 (   9.74)   3.47e-15   3.47e-15   3.23e-15   failed
 7700     72.22 (   1.64)     66.14 (   1.79)     21.80 (   5.44)     11.86 (  10.00)   3.72e-15   3.72e-15   3.60e-15   failed
 7800     73.26 (   1.66)     65.96 (   1.85)     21.55 (   5.65)     11.87 (  10.25)   3.26e-15   3.44e-15   3.56e-15   failed
 7900     71.34 (   1.75)     65.33 (   1.91)     21.77 (   5.73)     11.78 (  10.60)   3.45e-15   3.63e-15   3.51e-15   failed
 8000     71.64 (   1.79)     62.02 (   2.06)     22.12 (   5.79)     11.71 (  10.93)   3.30e-15   3.30e-15   3.41e-15   failed
 8100     72.07 (   1.82)     68.17 (   1.92)     22.85 (   5.74)     11.69 (  11.23)   3.82e-15   3.87e-15   3.65e-15   failed
 8200     71.16 (   1.89)     66.52 (   2.02)     21.27 (   6.32)     11.81 (  11.38)   3.49e-15   3.44e-15   3.49e-15   failed
 8300     71.55 (   1.93)     65.12 (   2.12)     21.21 (   6.50)     11.73 (  11.74)   3.45e-15   3.45e-15   3.56e-15   failed
 8400     69.69 (   2.03)     66.92 (   2.11)     21.36 (   6.61)     11.80 (  11.96)   3.63e-15   3.57e-15   3.41e-15   failed
 8500     71.16 (   2.03)     66.82 (   2.16)     21.61 (   6.69)     11.72 (  12.33)   4.01e-15   4.01e-15   3.85e-15   failed
 8600     70.11 (   2.11)     67.09 (   2.21)     21.88 (   6.76)     11.84 (  12.49)   3.75e-15   3.44e-15   3.44e-15   failed
 8700     71.31 (   2.12)     68.17 (   2.22)     22.05 (   6.87)     11.94 (  12.68)   3.35e-15   3.45e-15   3.61e-15   failed
 8800     68.87 (   2.25)     62.78 (   2.47)     21.68 (   7.14)     12.00 (  12.91)   4.19e-15   4.29e-15   4.55e-15   failed
 8900     69.64 (   2.27)     67.22 (   2.36)     22.11 (   7.16)     12.07 (  13.12)   3.83e-15   3.68e-15   3.99e-15   failed
 9000     69.42 (   2.33)     66.24 (   2.45)     22.05 (   7.35)     12.00 (  13.50)   3.33e-15   3.44e-15   3.44e-15   failed
10000     69.35 (   2.88)     68.43 (   2.92)     22.20 (   9.01)     11.94 (  16.76)   3.87e-15   3.68e-15   3.73e-15   failed
12000     69.47 (   4.15)     66.25 (   4.35)     22.61 (  12.74)     12.36 (  23.30)   5.15e-15   5.08e-15   5.08e-15   failed
14000     73.44 (   5.34)     72.60 (   5.40)     22.62 (  17.33)     12.92 (  30.34)   5.07e-15   5.26e-15   4.87e-15   failed
16000     74.38 (   6.88)     68.74 (   7.45)     22.66 (  22.60)     12.30 (  41.64)   5.12e-15   4.89e-15   5.06e-15   failed
18000     72.12 (   8.99)     72.46 (   8.94)     21.82 (  29.70)     12.93 (  50.12)   6.11e-15   6.27e-15   6.67e-15   failed
20000     72.84 (  10.98)     70.18 (  11.40)     20.99 (  38.12)     13.39 (  59.77)   5.96e-15   5.68e-15   5.73e-15   failed
Sat Sep 12 10:57:42 EDT 2015
